"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2419,185.101,75,9073,"Inside","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,738,738,"GasA","Ex","Y",738,754,1492,0,0,2,1,3,"Gd",8,0,"Attchd",2,440,"TA","TA",100,32,0,0
2309,252,0,39384,"CulDSac","1Story",6,6,1957,1957,"TA","TA","CBlock","Gd","TA","ALQ",1110,595,1705,"GasA","Ex","Y",1390,0,1390,1,0,1,1,1,"Ex",4,2,"Attchd",2,550,"TA","TA",0,189,0,0
2553,137,0,11425,"Corner","1Story",5,6,1954,1954,"TA","TA","CBlock","TA","TA","BLQ",486,522,1008,"GasA","Gd","Y",1008,0,1008,0,0,1,0,2,"TA",4,1,"Attchd",1,275,"TA","TA",0,0,120,0
1345,162.9,52,6240,"Inside","1.5Fin",5,7,1930,1992,"TA","TA","PConc","TA","TA","Unf",0,1078,1078,"GasA","TA","Y",1128,445,1573,0,0,2,0,3,"TA",8,1,"Detchd",2,360,"TA","TA",0,0,0,0
2688,129,60,9873,"Inside","1Story",4,5,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",789,171,960,"GasW","TA","N",960,0,960,1,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,288,0,0
2744,123.5,57,6420,"Inside","1Story",5,7,1952,1952,"TA","TA","PConc","Ex","Gd","LwQ",210,219,980,"GasA","Fa","Y",1148,0,1148,0,1,1,0,2,"TA",6,0,"Detchd",1,308,"TA","TA",0,0,0,0
2392,345,85,11924,"Inside","2Story",9,5,2005,2006,"Ex","TA","PConc","Ex","TA","GLQ",998,177,1175,"GasA","Ex","Y",1182,1142,2324,1,0,3,0,4,"Ex",11,2,"BuiltIn",3,736,"TA","TA",147,21,0,0
897,98,50,8405,"Inside","1.5Fin",4,3,1945,1950,"TA","TA","Slab","None","None","None",0,0,0,"Wall","TA","N",1088,441,1529,0,0,2,0,4,"TA",9,0,"Detchd",1,240,"TA","TA",92,0,185,0
1107,341,96,10542,"Inside","2Story",7,5,1993,1994,"Gd","TA","PConc","Gd","TA","GLQ",1173,138,1311,"GasA","Ex","Y",1325,1093,2418,1,0,2,1,3,"Gd",9,1,"Attchd",3,983,"TA","TA",250,154,216,0
2329,275,0,6563,"CulDSac","1Story",8,5,1985,1985,"Gd","TA","PConc","Gd","TA","GLQ",1148,594,1742,"GasA","TA","Y",1742,0,1742,1,0,2,0,2,"Gd",5,1,"Attchd",2,564,"TA","TA",114,28,234,0
390,158,85,11050,"Corner","1Story",7,5,1975,1975,"TA","TA","CBlock","TA","TA","ALQ",636,540,1176,"GasA","Fa","Y",1193,0,1193,0,0,2,0,3,"TA",5,1,"Attchd",2,506,"TA","TA",40,0,0,0
879,140,0,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",685,163,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",4,0,"Attchd",2,420,"TA","TA",140,0,0,0
1027,146.9,75,9743,"Inside","2Story",5,6,1969,1969,"TA","TA","CBlock","TA","Fa","BLQ",280,440,720,"GasA","Gd","Y",720,588,1308,0,0,1,1,3,"TA",7,0,"Detchd",2,484,"TA","TA",0,0,0,0
2261,267.3,68,8298,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",583,963,1546,"GasA","Ex","Y",1564,0,1564,0,0,2,0,2,"Ex",6,1,"Attchd",2,502,"TA","TA",132,0,0,0
109,130.5,0,13517,"CulDSac","2Story",6,8,1976,2005,"Gd","TA","CBlock","TA","TA","GLQ",533,192,725,"GasA","Ex","Y",725,754,1479,0,0,2,1,3,"Gd",6,0,"Attchd",2,475,"TA","TA",0,44,0,0
1091,213,0,8396,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,1139,1986,0,0,2,1,4,"Gd",9,1,"BuiltIn",2,434,"TA","TA",120,48,0,0
1797,212.109,81,10411,"Corner","2Story",5,5,2007,2007,"Gd","TA","CBlock","Gd","TA","Unf",0,725,725,"GasA","Ex","Y",725,863,1588,0,0,3,0,3,"Gd",8,0,"Attchd",2,561,"TA","TA",0,0,0,0
1612,167.3,85,10667,"Inside","1Story",6,6,1971,1971,"TA","TA","CBlock","TA","TA","BLQ",838,749,1587,"GasA","TA","Y",1587,0,1587,0,0,2,0,3,"TA",7,1,"Attchd",2,525,"TA","TA",0,44,0,0
1632,170,0,3696,"Inside","1Story",8,5,1986,1986,"Gd","TA","CBlock","Gd","TA","Unf",0,1074,1074,"GasA","Ex","Y",1088,0,1088,0,0,1,1,2,"Gd",5,0,"Attchd",2,461,"TA","TA",0,74,137,0
1943,138,60,14190,"Inside","1.5Fin",4,7,1890,2006,"Gd","Gd","CBlock","Fa","TA","Unf",0,925,925,"GasA","Gd","Y",1000,544,1544,0,0,2,0,3,"TA",7,0,"None",0,0,"None","None",231,0,0,0
2032,139.4,57,7449,"Inside","1.5Unf",7,7,1930,1950,"TA","TA","PConc","TA","TA","Unf",0,637,637,"GasA","Ex","Y",1108,0,1108,0,0,1,0,3,"Gd",6,1,"Attchd",1,280,"TA","TA",0,0,205,0
1043,106,21,1869,"Inside","2Story",6,6,1970,1970,"TA","TA","CBlock","TA","TA","Rec",321,162,483,"GasA","TA","Y",483,504,987,0,0,1,1,2,"TA",5,0,"Detchd",1,280,"TA","TA",0,0,0,0
779,148,88,15312,"Inside","SLvl",6,5,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",588,550,1138,"GasA","Ex","Y",1138,0,1138,0,1,1,0,3,"TA",6,1,"Attchd",2,480,"TA","TA",0,0,0,140
2291,75.19,21,1890,"Inside","2Story",4,3,1976,1976,"TA","TA","CBlock","TA","TA","Unf",0,546,546,"GasA","Ex","Y",546,546,1092,0,0,1,1,3,"TA",6,0,"Attchd",1,286,"TA","TA",0,0,0,0
2387,325.3,101,14215,"Corner","2Story",8,5,2005,2006,"Gd","TA","PConc","Ex","TA","Unf",0,1158,1158,"GasA","Ex","Y",1158,1218,2376,0,0,3,1,4,"Gd",9,1,"BuiltIn",3,853,"TA","TA",240,154,0,0
1264,157,0,10920,"Corner","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",733,520,1253,"GasA","TA","Y",1253,0,1253,1,0,1,1,2,"TA",5,1,"Attchd",1,352,"TA","TA",0,213,176,0
250,245.35,64,10475,"Corner","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1694,1694,"GasA","Ex","Y",1694,0,1694,0,0,2,0,3,"Gd",7,0,"Attchd",3,776,"TA","TA",160,33,0,0
1498,284.7,123,47007,"Inside","1Story",5,7,1959,1996,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",3820,0,3820,0,0,3,1,5,"Ex",11,2,"Attchd",2,624,"TA","TA",0,372,0,0
1547,55,40,3636,"Inside","1Story",4,4,1922,1950,"TA","TA","BrkTil","TA","Fa","Unf",0,796,796,"GasA","Fa","N",796,0,796,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,0,100,0
2751,229.8,133,11003,"Inside","2Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1308,1308,"GasA","Ex","Y",1308,568,1876,0,0,2,1,3,"Gd",7,0,"BuiltIn",3,848,"TA","TA",0,40,0,0
1360,93.85,0,6291,"Inside","1Story",6,6,1930,1950,"Gd","Gd","BrkTil","TA","TA","Unf",0,768,768,"GasA","TA","Y",768,0,768,0,0,1,0,1,"TA",4,0,"Detchd",2,440,"TA","TA",0,0,84,0
394,148.5,0,8750,"Inside","1Story",5,6,1970,1970,"TA","TA","CBlock","TA","TA","BLQ",828,174,1002,"GasA","TA","Y",1002,0,1002,1,0,1,0,3,"TA",5,0,"Detchd",2,902,"TA","TA",0,0,0,0
2730,142.5,100,13350,"Inside","1Story",5,5,1974,1974,"TA","TA","CBlock","TA","TA","ALQ",762,102,864,"GasA","TA","Y",894,0,894,1,0,1,0,3,"TA",5,1,"Attchd",2,440,"TA","TA",241,0,0,0
362,174,65,8125,"Inside","2Story",6,5,1994,1995,"TA","TA","PConc","Gd","TA","Unf",0,702,702,"GasA","Gd","Y",702,779,1481,0,0,2,1,3,"TA",6,1,"Attchd",2,343,"TA","TA",0,36,0,0
1490,165,64,12102,"Inside","SFoyer",5,5,1976,1976,"TA","TA","CBlock","Gd","Gd","ALQ",456,0,456,"GasA","Ex","Y",1033,0,1033,0,1,1,0,3,"TA",6,0,"BuiltIn",2,504,"Fa","TA",224,0,0,0
2715,165,0,9535,"Inside","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","BLQ",194,0,1176,"GasA","TA","Y",1458,0,1458,1,0,1,1,3,"TA",7,1,"Attchd",2,512,"TA","TA",284,0,0,0
1466,183,72,7226,"CulDSac","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,798,798,"GasA","Ex","Y",798,842,1640,0,0,2,1,3,"Gd",6,0,"Attchd",2,595,"TA","TA",0,45,0,0
1598,94.9,21,1596,"Inside","SLvl",4,6,1973,1973,"TA","TA","CBlock","Gd","TA","GLQ",437,25,462,"GasA","TA","Y",526,462,988,1,0,1,0,1,"TA",4,1,"BuiltIn",1,297,"TA","TA",0,101,0,0
1156,192,95,19508,"Inside","1Story",6,5,1974,1974,"TA","TA","CBlock","TA","TA","ALQ",800,630,1430,"GasA","TA","Y",1430,0,1430,0,1,2,0,3,"TA",6,2,"Attchd",2,484,"TA","TA",117,108,165,0
1266,242,313,27650,"Inside","1Story",7,7,1960,2007,"TA","TA","CBlock","Gd","TA","GLQ",425,160,585,"GasA","Ex","Y",2069,0,2069,1,0,2,0,4,"Gd",9,1,"Attchd",2,505,"TA","TA",0,0,0,0
1634,182,38,4740,"Inside","1Story",8,5,1988,1988,"Gd","TA","CBlock","Gd","TA","GLQ",248,918,1166,"GasA","Gd","Y",1179,0,1179,1,0,2,0,2,"TA",5,0,"Attchd",2,480,"TA","TA",0,108,0,135
416,148.5,24,2289,"Inside","2Story",6,6,1978,1978,"TA","TA","CBlock","TA","TA","ALQ",311,544,855,"GasA","TA","Y",855,586,1441,0,0,2,1,3,"TA",7,1,"Attchd",2,440,"TA","TA",28,0,0,0
2917,92,21,1533,"Inside","SFoyer",5,7,1970,1970,"TA","TA","CBlock","Gd","TA","GLQ",553,77,630,"GasA","Ex","Y",630,0,630,1,0,1,0,1,"Ex",3,0,"None",0,0,"None","None",0,0,0,0
46,224,44,6371,"Inside","1Story",7,5,2009,2010,"Gd","TA","PConc","Gd","TA","GLQ",733,625,1358,"GasA","Ex","Y",1358,0,1358,1,0,2,0,2,"Gd",6,1,"Attchd",2,484,"TA","TA",192,35,0,0
2103,246.5,66,10235,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1643,1643,"GasA","Ex","Y",1651,0,1651,0,0,2,0,3,"Gd",7,1,"Attchd",3,870,"TA","TA",192,64,0,0
1437,207.5,68,8998,"Inside","2Story",7,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",527,255,782,"GasA","Ex","Y",782,870,1652,0,0,2,1,3,"Gd",6,0,"Attchd",2,532,"TA","TA",0,70,0,0
244,84.9,60,11100,"Inside","1Story",4,7,1946,2006,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Ex","Y",930,0,930,0,0,1,0,2,"Gd",6,0,"Detchd",1,308,"TA","TA",0,0,0,0
451,255.9,70,9658,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1598,1598,"GasA","Gd","Y",1606,0,1606,0,0,2,0,3,"Gd",6,1,"Attchd",3,871,"TA","TA",230,60,0,0
492,181,0,24682,"CulDSac","2Story",6,5,1999,1999,"TA","TA","PConc","Gd","TA","Unf",0,841,841,"GasA","Ex","Y",892,783,1675,0,0,2,1,3,"TA",7,1,"BuiltIn",2,502,"TA","TA",0,103,0,0
119,143,0,9790,"Inside","1Story",6,5,1963,1963,"TA","TA","CBlock","TA","TA","ALQ",569,678,1328,"GasA","TA","Y",1328,0,1328,1,0,1,1,3,"TA",6,2,"Attchd",2,528,"TA","TA",0,26,0,0
2648,124,50,9000,"Corner","2Story",5,6,1880,1991,"TA","TA","BrkTil","Fa","Fa","Unf",0,636,636,"GasA","TA","Y",1089,661,1750,0,0,1,0,3,"Ex",8,0,"Detchd",1,240,"Fa","Po",0,0,293,0
139,135,70,8267,"Corner","1Story",5,5,1958,1958,"TA","TA","CBlock","TA","TA","Unf",0,1604,1604,"GasA","TA","Y",1604,0,1604,0,0,2,0,4,"TA",8,0,"Attchd",2,576,"TA","TA",42,0,0,0
2463,232.6,81,11216,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Gd","Unf",0,1489,1489,"GasA","Ex","Y",1489,0,1489,0,0,2,0,3,"Gd",7,1,"Attchd",2,776,"TA","TA",0,140,0,0
369,260,124,16158,"Inside","1Story",7,5,2005,2005,"Gd","TA","PConc","Ex","TA","ALQ",1274,256,1530,"GasA","Ex","Y",1530,0,1530,1,0,2,0,3,"Gd",7,1,"Attchd",2,430,"TA","TA",168,36,0,0
1185,205,0,7500,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,952,952,"GasA","Ex","Y",952,860,1812,0,0,2,1,3,"TA",7,1,"Attchd",2,469,"TA","TA",144,112,0,0
1715,250,92,10732,"Corner","2Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1298,1298,"GasA","Ex","Y",1298,530,1828,0,0,2,1,3,"Gd",7,0,"BuiltIn",3,876,"TA","TA",0,40,0,0
2042,122,60,10120,"Inside","2.5Unf",7,4,1910,1950,"Fa","TA","CBlock","TA","TA","Unf",0,925,925,"GasA","TA","N",964,925,1889,0,0,1,1,4,"TA",9,1,"Detchd",1,308,"TA","TA",0,0,264,0
127,142.125,68,9717,"Inside","1Story",5,6,1950,1996,"TA","TA","CBlock","TA","TA","GLQ",49,0,1078,"GasA","Gd","Y",1078,0,1078,1,0,1,0,2,"Gd",5,0,"Attchd",1,240,"TA","TA",366,0,112,0
2114,277,0,14364,"Inside","2Story",7,5,1988,1989,"Gd","TA","CBlock","Gd","TA","GLQ",1065,92,1157,"GasA","Ex","Y",1180,882,2062,1,0,2,1,3,"TA",7,1,"Attchd",2,454,"TA","TA",60,55,0,154
1105,290,0,11929,"CulDSac","2Story",8,7,1995,1995,"Gd","TA","PConc","Gd","TA","Unf",0,1242,1242,"GasA","Ex","Y",1251,1250,2501,0,0,2,1,4,"Gd",9,1,"Attchd",3,751,"TA","TA",192,87,0,0
2889,135,78,10530,"Inside","SFoyer",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","GLQ",975,0,975,"GasA","TA","Y",1004,0,1004,1,0,1,0,2,"TA",4,0,"Attchd",2,504,"TA","TA",0,0,0,0
664,105,90,5400,"Corner","1.5Fin",4,6,1920,1950,"Fa","TA","PConc","TA","TA","ALQ",315,420,840,"GasA","Ex","Y",840,534,1374,0,0,1,0,2,"TA",6,0,"Detchd",1,338,"TA","TA",0,0,198,0
566,280.75,32,2880,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1376,1376,"GasA","Ex","Y",1376,1629,3005,0,0,2,1,3,"Gd",9,1,"BuiltIn",3,704,"TA","TA",0,177,0,0
2544,145,70,8393,"Corner","1Story",5,5,1959,2005,"TA","TA","CBlock","TA","TA","LwQ",528,1098,1626,"GasA","Ex","Y",1712,0,1712,0,0,2,0,4,"TA",8,0,"Attchd",2,588,"TA","TA",272,54,0,0
1269,98.3,60,7200,"Inside","1Story",5,5,1950,1950,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Gd","Y",1048,0,1048,0,0,1,0,3,"TA",7,0,"Detchd",2,420,"TA","TA",0,27,0,0
39,395.192,83,10159,"Inside","1Story",9,5,2009,2010,"Ex","TA","PConc","Ex","TA","GLQ",1646,284,1930,"GasA","Ex","Y",1940,0,1940,1,0,2,1,3,"Ex",8,1,"Attchd",3,606,"TA","TA",168,95,0,0
1637,349.265,98,12328,"Inside","2Story",8,5,2005,2005,"Gd","TA","PConc","Ex","TA","GLQ",986,163,1149,"GasA","Ex","Y",1164,1377,2541,1,0,3,1,4,"Ex",10,1,"BuiltIn",3,729,"TA","TA",120,32,0,0
2388,309,108,13418,"Inside","2Story",8,5,2004,2005,"Gd","TA","PConc","Ex","TA","Unf",0,1117,1117,"GasA","Ex","Y",1132,1320,2452,0,0,3,1,4,"Gd",9,1,"BuiltIn",3,691,"TA","TA",113,32,0,0
2799,227,90,11250,"Corner","2Story",7,5,1998,1998,"TA","TA","PConc","Gd","TA","ALQ",796,258,1054,"GasA","Ex","Y",1070,869,1939,0,1,2,1,3,"Gd",8,1,"Attchd",3,555,"TA","TA",128,84,0,0
904,122,45,8212,"Inside","1.5Fin",5,6,1941,1950,"TA","TA","CBlock","TA","TA","Rec",626,94,720,"GasA","Ex","Y",854,444,1298,0,0,1,0,3,"TA",6,2,"Detchd",1,256,"TA","TA",84,0,0,0
436,296,129,16870,"FR3","1Story",8,5,2004,2005,"Gd","TA","PConc","Ex","TA","GLQ",1531,251,1782,"GasA","Ex","Y",1782,0,1782,1,0,2,0,3,"Gd",7,2,"Attchd",3,932,"TA","TA",99,82,0,0
1953,172,93,10090,"Inside","SLvl",7,5,1963,1999,"TA","TA","CBlock","TA","TA","Rec",242,0,725,"GasA","TA","Y",1035,616,1651,0,1,2,0,4,"TA",6,2,"BuiltIn",1,276,"TA","TA",460,46,0,165
1120,247,87,10037,"Corner","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",666,794,1460,"GasA","Ex","Y",1460,0,1460,0,0,2,0,3,"Gd",6,1,"Attchd",2,480,"TA","TA",0,20,0,0
659,109.5,52,9022,"Inside","1Story",5,8,1924,2006,"Gd","TA","BrkTil","TA","TA","Unf",0,768,768,"GasA","Ex","Y",792,0,792,0,0,1,0,2,"Gd",5,0,"Detchd",1,240,"Fa","Fa",316,0,120,0
2638,135,60,9600,"Inside","1.5Fin",5,6,1948,1950,"TA","TA","CBlock","TA","TA","Rec",276,936,1212,"GasA","Gd","Y",1226,442,1668,1,0,1,0,3,"TA",6,0,"Detchd",1,240,"TA","TA",0,0,140,0
2349,188.9,81,10530,"Inside","2Story",7,5,1978,1978,"TA","TA","CBlock","TA","TA","Unf",0,945,945,"GasA","TA","Y",945,912,1857,0,0,2,1,4,"TA",8,1,"Attchd",2,482,"TA","TA",400,105,0,0
2203,141.5,53,6720,"Inside","2Story",6,7,1921,1950,"TA","TA","BrkTil","TA","TA","Unf",0,585,585,"GasA","TA","N",851,585,1436,0,0,1,0,3,"TA",7,1,"Detchd",1,228,"TA","TA",184,0,0,0
2115,207,0,8883,"Inside","2Story",7,5,1988,1988,"Gd","TA","PConc","Gd","TA","GLQ",608,0,929,"GasA","Ex","Y",946,927,1873,1,0,2,1,3,"Gd",7,1,"Attchd",2,619,"TA","TA",108,48,0,144
764,179,60,10800,"Inside","1Story",5,5,1987,1988,"TA","Gd","CBlock","Gd","Gd","GLQ",1200,0,1200,"GasA","TA","Y",1200,0,1200,3,0,3,0,3,"TA",5,0,"None",0,0,"None","None",120,0,0,0
2139,130,39,16300,"CulDSac","1Story",5,4,1977,1977,"TA","TA","CBlock","Gd","TA","Rec",60,399,876,"GasA","TA","Y",907,0,907,1,0,1,0,3,"TA",5,0,"Attchd",1,308,"TA","TA",0,0,0,0
2458,290,85,10182,"CulDSac","1Story",8,5,2006,2006,"Gd","TA","PConc","Ex","TA","GLQ",1220,440,1660,"GasA","Ex","Y",1660,0,1660,1,0,2,0,3,"Gd",8,1,"Attchd",2,500,"TA","TA",322,50,0,0
2065,187,81,14175,"Inside","1Story",5,5,1956,1998,"TA","TA","CBlock","TA","TA","Rec",386,332,1240,"GasA","Gd","Y",1375,0,1375,1,0,1,0,3,"TA",6,1,"Attchd",1,323,"TA","TA",0,0,0,0
2146,228.5,0,9375,"Inside","2Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1284,1284,"GasA","Ex","Y",1284,885,2169,0,0,2,1,3,"Gd",7,1,"Attchd",2,647,"TA","TA",192,87,0,0
1784,235.876,85,9965,"FR2","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1528,1528,"GasA","Ex","Y",1528,0,1528,0,0,3,2,3,"Gd",6,1,"Attchd",2,480,"TA","TA",0,228,0,0
486,244,0,12224,"Corner","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",695,297,992,"GasA","Ex","Y",1022,1032,2054,1,0,2,1,3,"Gd",7,1,"BuiltIn",2,390,"TA","TA",24,48,0,0
1540,263.4,70,12392,"Inside","1.5Fin",7,9,1950,2000,"TA","Gd","CBlock","TA","Gd","GLQ",435,397,832,"GasA","Ex","Y",1218,943,2161,1,0,2,1,3,"Gd",8,2,"Attchd",2,506,"TA","TA",0,96,0,0
579,150,0,9991,"Corner","1Story",4,4,1976,1993,"TA","TA","CBlock","TA","TA","BLQ",1116,165,1281,"GasA","Ex","Y",1620,0,1620,1,0,2,0,3,"TA",8,1,"Attchd",2,490,"TA","TA",120,78,0,0
2798,210.9,0,21533,"FR2","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","Unf",0,1065,1065,"GasA","Ex","Y",1065,984,2049,0,0,2,1,4,"Gd",9,1,"Attchd",2,467,"TA","TA",120,48,0,0
883,173.5,64,8633,"FR2","2Story",6,5,2005,2005,"Gd","TA","PConc","Gd","TA","GLQ",193,545,738,"GasA","Ex","Y",738,738,1476,1,0,2,1,3,"Gd",7,0,"Attchd",2,540,"TA","TA",100,35,0,0
90,169,39,15410,"CulDSac","1Story",6,6,1974,2002,"TA","Gd","CBlock","TA","TA","BLQ",126,223,1208,"GasA","Ex","Y",1494,0,1494,1,0,2,0,3,"TA",7,2,"Attchd",2,461,"TA","TA",296,0,186,0
1728,181.755,59,15810,"Inside","2Story",6,5,2007,2007,"Gd","TA","CBlock","Gd","TA","Unf",0,768,768,"GasA","Ex","Y",768,728,1496,0,0,3,0,3,"Gd",7,0,"Attchd",2,572,"TA","TA",100,0,0,0
2408,332.2,61,7740,"Inside","1Story",9,5,2006,2006,"Gd","TA","PConc","Ex","Gd","GLQ",1023,663,1686,"GasA","Ex","Y",1686,0,1686,1,0,2,0,1,"Ex",6,1,"Attchd",3,899,"TA","TA",266,100,0,0
1491,135,65,6500,"Inside","1Story",6,6,1976,1976,"TA","TA","CBlock","TA","Ex","BLQ",1033,94,1127,"GasA","TA","Y",1127,0,1127,0,1,1,1,3,"TA",6,1,"Detchd",2,480,"TA","TA",0,0,138,0
